Sno,AgeGroup,TotalCases,Percentage
86,20-29,2831,2.92
779,0-9,1160,2.36
984,70-79,1086,26.39
706,0-9,4910,23.29
193,40-49,2828,9.97
917,80+,3391,25.28
643,10-19,3470,4.57
510,60-69,2580,12.03
138,60-69,3651,17.52
719,80+,4765,9.85
131,0-9,4628,23.25
982,70-79,1641,17.78
806,20-29,4509,17.5
163,40-49,69,8.63
579,50-59,54,5.24
644,70-79,418,24.27
698,50-59,4254,6.91
255,10-19,4763,18.2
765,30-39,1488,3.43
745,80+,2922,21.86
456,30-39,1290,19.62
518,20-29,161,18.76
611,20-29,1797,14.26
312,60-69,4192,15.66
685,40-49,2077,22.15
177,50-59,3770,1.23
672,40-49,2777,15.71
465,,4089,6.73
390,70-79,825,12.56
586,30-39,2261,4.58
216,10-19,3676,6.47
144,30-39,4100,8.58
856,70-79,3396,4.78
610,40-49,1401,27.93
296,30-39,4136,1.21
773,30-39,1342,17.34
181,80+,570,21.43
193,20-29,2708,5.48
191,0-9,2748,21.23
963,60-69,2733,1.38
624,20-29,1827,19.96
914,30-39,3243,14.58
850,50-59,878,24.31
673,0-9,1728,7.4
38,10-19,885,5.17
235,20-29,673,13.52
114,20-29,2627,12.48
858,80+,3730,16.86
216,30-39,2410,1.05
615,30-39,667,19.01
777,10-19,3322,25.99
411,10-19,2966,10.91
916,50-59,1649,9.99
382,50-59,3186,15.16
622,70-79,4984,17.35
835,30-39,4409,9.18
956,30-39,2766,11.0
744,20-29,3859,27.18
622,20-29,3089,19.93
917,50-59,4152,22.13
376,40-49,1607,4.61
552,10-19,2234,1.75
667,10-19,263,18.87
669,40-49,3839,12.23
756,40-49,4309,24.66
491,30-39,1734,19.81
92,50-59,2377,4.41
679,20-29,186,10.15
874,10-19,3713,4.05
318,40-49,2795,23.82
743,40-49,4103,4.18
528,40-49,1584,11.38
284,10-19,2684,15.05
735,30-39,2088,22.8
338,50-59,884,8.38
38,30-39,4568,23.76
963,70-79,1205,1.62
434,,4661,21.43
887,40-49,3123,23.14
778,30-39,3565,24.47
706,50-59,914,6.57
219,80+,1025,1.59
389,50-59,4557,7.35
730,70-79,3893,20.07
458,30-39,3451,27.99
384,50-59,3081,22.76
678,60-69,2220,6.72
905,70-79,1401,17.62
720,40-49,1656,2.92
993,40-49,3698,14.42
182,,1959,25.56
543,0-9,4640,1.53
506,10-19,1160,27.15
377,0-9,1795,16.45
520,20-29,2433,15.07
465,70-79,3230,2.47
794,10-19,4868,22.96
446,80+,179,7.8
563,70-79,1489,20.88
766,60-69,2155,8.22
84,50-59,1388,22.95
915,40-49,3124,7.76
381,80+,3459,18.95
600,40-49,2522,12.44
690,70-79,1338,10.25
85,80+,2175,13.13
281,70-79,1451,27.04
464,30-39,2258,16.27
732,60-69,3290,13.06
701,50-59,4561,12.99
317,20-29,3432,19.55
307,20-29,2764,16.05
67,30-39,1590,14.63
694,20-29,2188,22.03
519,80+,307,6.14
415,,1096,4.22
281,60-69,4841,5.6
538,20-29,1494,6.95
696,,2023,24.41
74,30-39,667,25.99
800,70-79,1850,13.46
526,60-69,2373,23.67
706,60-69,1665,11.21
273,70-79,4421,15.71
106,50-59,4218,27.16
525,80+,1474,26.91
41,40-49,530,7.9
305,40-49,2598,27.69
906,0-9,1459,19.91
710,0-9,3202,6.86
308,0-9,3387,12.52
786,50-59,4524,2.02
241,0-9,2393,23.35
879,60-69,1203,1.91
568,20-29,3808,22.74
819,20-29,1278,3.37
220,40-49,2532,7.45
353,10-19,4972,24.05
79,50-59,2013,4.01
988,60-69,1674,19.48
868,30-39,1849,10.73
675,30-39,1304,23.26
714,0-9,2660,1.07
94,20-29,3047,24.06
61,0-9,4595,3.83
767,70-79,226,13.41
137,40-49,3621,4.62
422,20-29,3522,13.73
829,,189,20.17
404,40-49,3612,13.63
414,40-49,4039,22.48
816,80+,2839,24.78
853,10-19,2477,19.31
120,40-49,3715,24.98
569,40-49,552,16.34
845,0-9,3771,3.7
299,80+,2886,20.81
881,80+,3051,23.87
178,0-9,4665,13.7
492,60-69,3056,6.4
360,30-39,839,10.86
498,30-39,1688,3.77
393,40-49,2571,21.11
484,80+,481,11.66
475,10-19,4039,12.8
685,20-29,122,6.14
630,60-69,1593,18.21
853,0-9,3201,27.48
130,0-9,3737,13.16
55,70-79,1269,19.7
290,60-69,107,7.52
805,60-69,2794,13.44
732,60-69,3716,25.98
887,20-29,3193,7.67
398,10-19,1757,20.4
593,40-49,505,24.25
765,20-29,3982,3.27
954,70-79,4812,1.97
968,10-19,3476,26.32
693,80+,1872,1.14
246,60-69,859,14.46
607,,2099,4.65
398,10-19,758,7.67
69,60-69,2856,27.45
353,70-79,2368,21.87
612,80+,1406,26.44
207,20-29,4131,23.94
107,50-59,4768,11.47
384,10-19,1586,23.52
344,30-39,3047,24.45
915,60-69,389,19.74
319,30-39,4442,3.87
904,20-29,3836,25.82
951,30-39,343,27.8
885,40-49,914,13.81
235,30-39,785,10.91
761,60-69,3481,14.56
41,20-29,3995,6.01
508,0-9,4188,11.75
671,80+,2313,19.27
