Sno,State/UT,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18
834,Telangana,1406,466,95,25,3993,24989,312,39386,346,26247
213,Karnataka,1026,589,105,11,2135,66023,91,33101,360,43996
41,Assam,656,33,155,10,2894,76854,902,16162,342,3577
275,Gujarat,1654,329,113,80,2867,32030,395,19931,364,42420
577,Rajasthan,2926,139,79,27,3923,21384,658,14826,99,4598
168,Uttar Pradesh,2446,139,92,67,3351,47372,325,3427,140,37236
658,Karnataka,929,173,142,5,2076,65812,707,24933,692,19288
215,West Bengal,2027,93,129,44,3474,43946,1434,6266,137,24345
929,Uttar Pradesh,385,479,69,60,1454,71258,296,35325,280,23913
951,Jharkhand,2338,282,115,9,3284,67329,1437,33550,120,9204
956,Bihar,218,356,74,51,1408,77129,151,39341,787,1945
114,Uttar Pradesh,2297,492,39,30,323,14364,495,20696,62,18780
776,Telangana,2770,492,113,63,3908,47392,12,20594,612,46024
487,Delhi,2277,293,112,61,4724,46182,269,27347,843,16914
541,Haryana,3808,243,14,55,1499,70515,724,37831,158,38169
152,Madhya Pradesh,1472,215,142,60,883,78525,923,3637,105,23767
693,Karnataka,531,469,82,53,2099,63094,884,34794,814,57672
950,Gujarat,2985,40,28,60,4656,50592,238,13807,151,10223
798,Telangana,2400,213,72,2,642,20145,1212,37137,725,13304
445,Andhra Pradesh,705,361,162,80,2647,23006,91,22660,448,24541
681,Jammu and Kashmir,61,101,198,43,3358,36072,264,27429,601,31502
817,Maharashtra,598,82,51,31,2971,44639,759,13587,472,26960
229,Gujarat,3227,535,177,37,2779,24736,260,18278,807,40298
446,Gujarat,1038,265,116,67,4267,4716,158,33105,164,42402
214,Madhya Pradesh,3461,82,96,63,4762,17887,147,11506,493,3067
10,Odisha,3027,108,194,20,822,65631,102,11029,694,16633
366,Chhattisgarh,1631,305,124,50,3854,77246,1358,17394,326,2234
731,Maharashtra,2967,581,132,25,2306,7421,465,38334,103,20031
48,Jammu and Kashmir,1826,378,143,54,961,1753,82,31312,289,50233
402,Haryana,486,304,191,32,2982,40715,877,6603,110,3894
627,West Bengal,779,51,27,20,4634,15690,1430,5596,103,58549
86,Assam,1126,531,117,21,3850,45615,1487,21693,50,46475
787,Odisha,292,264,151,74,3313,47387,1370,15171,622,55062
328,Haryana,431,357,50,50,1751,31533,202,15989,191,47418
593,Jammu and Kashmir,2209,446,181,60,4316,37170,977,29902,410,35968
186,Karnataka,1953,267,81,40,2705,2140,832,26251,265,43087
855,Telangana,1990,557,187,22,1709,21647,614,9826,261,26151
722,Tamil Nadu,1932,116,199,29,1837,37096,247,13435,387,51448
979,West Bengal,1664,600,173,5,4306,33606,424,34253,43,2928
469,Odisha,3744,519,137,58,1738,2232,1005,35558,374,23921
781,Assam,2273,331,103,34,3549,36011,1474,20308,251,40613
201,Uttar Pradesh,978,388,67,15,832,48055,106,2343,55,31992
302,Assam,1843,194,29,12,4458,30195,680,36309,364,24491
531,Madhya Pradesh,2182,509,52,7,4776,10083,445,39256,688,22991
829,Tamil Nadu,2892,589,11,3,3086,16700,551,20512,422,1506
653,West Bengal,3861,88,152,52,3251,51015,885,20986,648,17391
218,Punjab,178,222,176,41,3463,78208,1089,31270,595,51694
565,West Bengal,1950,585,91,50,2145,72929,26,21273,529,6027
667,Gujarat,3144,572,132,45,3168,63955,85,4124,287,33473
422,Uttar Pradesh,2080,173,78,27,850,64231,1474,9607,346,37515
439,Chhattisgarh,1634,102,157,40,91,68352,150,5923,426,25552
994,Rajasthan,2970,315,60,9,986,37838,860,19761,773,7276
115,Maharashtra,3827,298,79,4,3185,2459,712,8532,376,638
809,Uttar Pradesh,1554,392,22,26,1570,74364,1479,29891,648,4696
532,Madhya Pradesh,2931,295,171,3,3503,32584,417,15685,344,50766
414,Karnataka,3690,377,45,6,1691,19192,852,25243,272,37135
111,Madhya Pradesh,2560,74,161,36,2792,14207,1366,794,710,43145
844,Haryana,2491,577,66,24,2487,3167,612,29899,706,9212
356,Delhi,1761,498,113,64,2347,8200,219,24339,720,39769
307,Haryana,437,56,196,47,3558,2383,518,19932,740,34327
