lab,address,pincode,city,state,type
Government Medical College,Ring Road,700662,Jaipur,Andhra Pradesh,Government Laboratory
Metropolis Healthcare Lab,Gandhi Nagar,222169,Hyderabad,Karnataka,Private Laboratory
National Institute of Virology,MG Road,288751,Jaipur,Delhi,Government Laboratory
Metropolis Healthcare Lab,Station Road,114136,Delhi,Gujarat,Collection Site
,,157433,,,
King Institute of Preventive Medicine,MG Road,385782,Lucknow,Andhra Pradesh,Private Laboratory
Metropolis Healthcare Lab,Station Road,696252,Hyderabad,Kerala,Collection Site
All India Institute of Medical Sciences,Gandhi Nagar,741765,Bengaluru,Karnataka,Collection Site
,,549198,,,
All India Institute of Medical Sciences,Jubilee Hills,619942,Mumbai,Punjab,Government Laboratory
All India Institute of Medical Sciences,Ring Road,351678,Ahmedabad,Rajasthan,Private Laboratory
Metropolis Healthcare Lab,MG Road,163752,Hyderabad,Rajasthan,Private Laboratory
All India Institute of Medical Sciences,Civil Lines,822821,Pune,Rajasthan,Collection Site
All India Institute of Medical Sciences,Salt Lake,746299,Jaipur,Telangana,Collection Site
SRL Diagnostics,Salt Lake,772576,Pune,Rajasthan,Collection Site
Metropolis Healthcare Lab,Ring Road,823799,Kolkata,Kerala,Private Laboratory
Metropolis Healthcare Lab,Station Road,382105,Pune,Gujarat,Collection Site
King Institute of Preventive Medicine,Gandhi Nagar,159206,Delhi,Kerala,Government Laboratory
Apollo Diagnostics Lab,Jubilee Hills,373301,Jaipur,Kerala,Private Laboratory
Apollo Diagnostics Lab,MG Road,349314,Lucknow,Delhi,Government Laboratory
Metropolis Healthcare Lab,Sector 12,672279,Hyderabad,Telangana,Collection Site
Christian Medical College Lab,Civil Lines,116374,Jaipur,Rajasthan,Private Laboratory
National Institute of Virology,Salt Lake,359607,Chennai,Andhra Pradesh,Government Laboratory
Apollo Diagnostics Lab,Jubilee Hills,432943,Chennai,Maharashtra,Government Laboratory
Government Medical College,MG Road,520751,Mumbai,Delhi,Collection Site
King Institute of Preventive Medicine,Salt Lake,531047,Delhi,Gujarat,Collection Site
Government Medical College,Sector 12,400501,Hyderabad,Tamil Nadu,Government Laboratory
Government Medical College,Salt Lake,121842,Lucknow,Rajasthan,Government Laboratory
All India Institute of Medical Sciences,Civil Lines,270478,Ahmedabad,Kerala,Government Laboratory
Metropolis Healthcare Lab,Jubilee Hills,142819,Hyderabad,Maharashtra,Private Laboratory
,,499740,,,
Government Medical College,Sector 12,650341,Lucknow,Tamil Nadu,Government Laboratory
Government Medical College,Ring Road,823449,Ahmedabad,Gujarat,Collection Site
Metropolis Healthcare Lab,Jubilee Hills,561217,Lucknow,Andhra Pradesh,Private Laboratory
National Institute of Virology,Ring Road,417458,Pune,Kerala,Collection Site
Apollo Diagnostics Lab,MG Road,432096,Bengaluru,Tamil Nadu,Collection Site
Apollo Diagnostics Lab,Station Road,312000,Ahmedabad,Kerala,Private Laboratory
All India Institute of Medical Sciences,Station Road,664949,Hyderabad,West Bengal,Private Laboratory
SRL Diagnostics,Ring Road,720731,Hyderabad,West Bengal,Private Laboratory
All India Institute of Medical Sciences,Ring Road,619207,Jaipur,Andhra Pradesh,Collection Site
,,196157,,,
All India Institute of Medical Sciences,Salt Lake,284217,Lucknow,Rajasthan,Private Laboratory
Metropolis Healthcare Lab,Jubilee Hills,346896,Bengaluru,West Bengal,Government Laboratory
Christian Medical College Lab,Civil Lines,742673,Delhi,Karnataka,Government Laboratory
SRL Diagnostics,Sector 12,200238,Lucknow,Uttar Pradesh,Government Laboratory
Metropolis Healthcare Lab,Gandhi Nagar,395513,Jaipur,Punjab,Private Laboratory
SRL Diagnostics,MG Road,738075,Lucknow,Tamil Nadu,Collection Site
SRL Diagnostics,Ring Road,673361,Kolkata,Rajasthan,Collection Site
Metropolis Healthcare Lab,Gandhi Nagar,731150,Ahmedabad,Rajasthan,Private Laboratory
King Institute of Preventive Medicine,Jubilee Hills,535027,Hyderabad,Maharashtra,Collection Site
SRL Diagnostics,Sector 12,820648,Ahmedabad,West Bengal,Collection Site
All India Institute of Medical Sciences,Sector 12,794034,Ahmedabad,Telangana,Private Laboratory
National Institute of Virology,Civil Lines,374369,Lucknow,Karnataka,Collection Site
SRL Diagnostics,Salt Lake,335038,Lucknow,Delhi,Collection Site
King Institute of Preventive Medicine,Sector 12,187262,Ahmedabad,Karnataka,Private Laboratory
SRL Diagnostics,Sector 12,694664,Hyderabad,Karnataka,Government Laboratory
King Institute of Preventive Medicine,Jubilee Hills,357250,Delhi,Gujarat,Private Laboratory
Government Medical College,Sector 12,433925,Bengaluru,Maharashtra,Government Laboratory
Christian Medical College Lab,Ring Road,322608,Mumbai,Telangana,Government Laboratory
SRL Diagnostics,Jubilee Hills,591716,Bengaluru,Rajasthan,Collection Site
Apollo Diagnostics Lab,MG Road,186728,Mumbai,Delhi,Private Laboratory
National Institute of Virology,Salt Lake,333318,Lucknow,West Bengal,Private Laboratory
National Institute of Virology,Civil Lines,365364,Bengaluru,Gujarat,Government Laboratory
King Institute of Preventive Medicine,Salt Lake,393490,Pune,Punjab,Government Laboratory
Metropolis Healthcare Lab,Civil Lines,537179,Lucknow,Karnataka,Collection Site
SRL Diagnostics,Jubilee Hills,792908,Hyderabad,Delhi,Collection Site
King Institute of Preventive Medicine,Gandhi Nagar,287312,Bengaluru,Andhra Pradesh,Collection Site
SRL Diagnostics,MG Road,707553,Delhi,Rajasthan,Government Laboratory
Apollo Diagnostics Lab,Jubilee Hills,622512,Delhi,Telangana,Private Laboratory
National Institute of Virology,Station Road,123215,Delhi,Karnataka,Government Laboratory
All India Institute of Medical Sciences,Salt Lake,355981,Lucknow,Punjab,Collection Site
SRL Diagnostics,Sector 12,428764,Lucknow,Gujarat,Collection Site
Government Medical College,Station Road,264089,Kolkata,West Bengal,Government Laboratory
Metropolis Healthcare Lab,Civil Lines,289771,Pune,Rajasthan,Government Laboratory
Christian Medical College Lab,Ring Road,124743,Chennai,Telangana,Collection Site
Metropolis Healthcare Lab,Jubilee Hills,151801,Delhi,Gujarat,Collection Site
King Institute of Preventive Medicine,Gandhi Nagar,216149,Bengaluru,Telangana,Collection Site
SRL Diagnostics,Sector 12,511497,Delhi,Kerala,Collection Site
SRL Diagnostics,Jubilee Hills,333324,Lucknow,Tamil Nadu,Collection Site
Metropolis Healthcare Lab,Salt Lake,578523,Lucknow,West Bengal,Collection Site
All India Institute of Medical Sciences,MG Road,701596,Bengaluru,Rajasthan,Collection Site
Government Medical College,Sector 12,589525,Pune,Tamil Nadu,Government Laboratory
Apollo Diagnostics Lab,Civil Lines,195898,Ahmedabad,Tamil Nadu,Government Laboratory
National Institute of Virology,Ring Road,525629,Delhi,Gujarat,Collection Site
National Institute of Virology,MG Road,759044,Chennai,Kerala,Collection Site
SRL Diagnostics,Gandhi Nagar,555232,Lucknow,Andhra Pradesh,Government Laboratory
King Institute of Preventive Medicine,Station Road,787250,Delhi,Kerala,Government Laboratory
National Institute of Virology,Gandhi Nagar,304350,Lucknow,Rajasthan,Collection Site
National Institute of Virology,Gandhi Nagar,297703,Ahmedabad,Punjab,Private Laboratory
Apollo Diagnostics Lab,Gandhi Nagar,803700,Jaipur,Andhra Pradesh,Government Laboratory
Christian Medical College Lab,Salt Lake,482943,Mumbai,Gujarat,Collection Site
Metropolis Healthcare Lab,Station Road,689876,Mumbai,Uttar Pradesh,Collection Site
SRL Diagnostics,Station Road,387945,Delhi,Gujarat,Government Laboratory
Government Medical College,Gandhi Nagar,162490,Lucknow,Telangana,Private Laboratory
Christian Medical College Lab,MG Road,277228,Bengaluru,Karnataka,Government Laboratory
Government Medical College,Civil Lines,425902,Jaipur,Tamil Nadu,Collection Site
King Institute of Preventive Medicine,Jubilee Hills,431652,Lucknow,Delhi,Collection Site
All India Institute of Medical Sciences,MG Road,371385,Jaipur,Punjab,Government Laboratory
Christian Medical College Lab,MG Road,636685,Ahmedabad,Andhra Pradesh,Government Laboratory
National Institute of Virology,Civil Lines,505930,Ahmedabad,Punjab,Private Laboratory
Christian Medical College Lab,Gandhi Nagar,688814,Kolkata,West Bengal,Government Laboratory
All India Institute of Medical Sciences,Sector 12,579442,Bengaluru,West Bengal,Collection Site
Apollo Diagnostics Lab,Station Road,303477,Kolkata,Maharashtra,Government Laboratory
Apollo Diagnostics Lab,Salt Lake,834338,Hyderabad,Andhra Pradesh,Government Laboratory
Government Medical College,Sector 12,313591,Jaipur,Punjab,Private Laboratory
SRL Diagnostics,Sector 12,606890,Delhi,Telangana,Government Laboratory
Apollo Diagnostics Lab,Sector 12,413424,Hyderabad,Rajasthan,Collection Site
King Institute of Preventive Medicine,Sector 12,231724,Ahmedabad,Punjab,Collection Site
Apollo Diagnostics Lab,Civil Lines,454786,Mumbai,Delhi,Collection Site
All India Institute of Medical Sciences,Salt Lake,215050,Jaipur,Uttar Pradesh,Collection Site
Metropolis Healthcare Lab,Ring Road,235042,Bengaluru,Tamil Nadu,Collection Site
Christian Medical College Lab,Jubilee Hills,381828,Delhi,Punjab,Collection Site
Government Medical College,Sector 12,287936,Kolkata,Kerala,Government Laboratory
Apollo Diagnostics Lab,Gandhi Nagar,498239,Kolkata,Maharashtra,Private Laboratory
National Institute of Virology,Gandhi Nagar,172169,Ahmedabad,Andhra Pradesh,Private Laboratory
Metropolis Healthcare Lab,Civil Lines,204169,Chennai,Telangana,Private Laboratory
King Institute of Preventive Medicine,Jubilee Hills,202282,Chennai,Maharashtra,Private Laboratory
Christian Medical College Lab,MG Road,247616,Pune,Karnataka,Government Laboratory
SRL Diagnostics,Sector 12,588653,Pune,Maharashtra,Collection Site
Christian Medical College Lab,Sector 12,712980,Jaipur,Gujarat,Private Laboratory
National Institute of Virology,Salt Lake,219009,Pune,Gujarat,Private Laboratory
Metropolis Healthcare Lab,Sector 12,172005,Lucknow,Punjab,Private Laboratory
Christian Medical College Lab,Salt Lake,234206,Mumbai,West Bengal,Private Laboratory
,,535155,,,
SRL Diagnostics,Gandhi Nagar,299260,Pune,Andhra Pradesh,Government Laboratory
Metropolis Healthcare Lab,MG Road,469914,Kolkata,Kerala,Private Laboratory
National Institute of Virology,Jubilee Hills,774081,Lucknow,Telangana,Private Laboratory
Government Medical College,Sector 12,562527,Lucknow,Uttar Pradesh,Private Laboratory
King Institute of Preventive Medicine,Jubilee Hills,355211,Mumbai,Gujarat,Private Laboratory
Metropolis Healthcare Lab,MG Road,434536,Pune,Delhi,Government Laboratory
National Institute of Virology,Civil Lines,330845,Mumbai,Gujarat,Collection Site
King Institute of Preventive Medicine,Salt Lake,195410,Jaipur,Tamil Nadu,Private Laboratory
Apollo Diagnostics Lab,Civil Lines,623739,Pune,Gujarat,Private Laboratory
SRL Diagnostics,Civil Lines,569400,Delhi,Telangana,Government Laboratory
Apollo Diagnostics Lab,MG Road,850148,Ahmedabad,West Bengal,Collection Site
Apollo Diagnostics Lab,Jubilee Hills,748244,Chennai,Kerala,Private Laboratory
,,117962,,,
Apollo Diagnostics Lab,Station Road,283483,Bengaluru,Rajasthan,Government Laboratory
King Institute of Preventive Medicine,Jubilee Hills,119070,Chennai,Maharashtra,Private Laboratory
Apollo Diagnostics Lab,Ring Road,111141,Lucknow,Delhi,Government Laboratory
National Institute of Virology,MG Road,732745,Bengaluru,Andhra Pradesh,Collection Site
National Institute of Virology,MG Road,198857,Delhi,Punjab,Collection Site
Apollo Diagnostics Lab,Ring Road,768709,Kolkata,West Bengal,Collection Site
All India Institute of Medical Sciences,Ring Road,368910,Chennai,Delhi,Collection Site
King Institute of Preventive Medicine,Gandhi Nagar,425674,Hyderabad,West Bengal,Government Laboratory
King Institute of Preventive Medicine,Ring Road,161145,Hyderabad,Punjab,Collection Site
King Institute of Preventive Medicine,Jubilee Hills,461702,Mumbai,Punjab,Collection Site
Metropolis Healthcare Lab,Jubilee Hills,795562,Lucknow,Delhi,Government Laboratory
Apollo Diagnostics Lab,Salt Lake,304195,Kolkata,Telangana,Government Laboratory
,,156791,,,
Apollo Diagnostics Lab,Station Road,548721,Lucknow,Delhi,Government Laboratory
Apollo Diagnostics Lab,MG Road,168875,Mumbai,Tamil Nadu,Private Laboratory
King Institute of Preventive Medicine,Station Road,220267,Lucknow,Karnataka,Government Laboratory
King Institute of Preventive Medicine,Civil Lines,682948,Delhi,Punjab,Government Laboratory
SRL Diagnostics,Sector 12,334307,Chennai,Tamil Nadu,Government Laboratory
Apollo Diagnostics Lab,Sector 12,228990,Kolkata,West Bengal,Collection Site
All India Institute of Medical Sciences,MG Road,199826,Ahmedabad,Uttar Pradesh,Government Laboratory
Government Medical College,Ring Road,521606,Bengaluru,Tamil Nadu,Government Laboratory
Christian Medical College Lab,Ring Road,783412,Mumbai,West Bengal,Private Laboratory
Government Medical College,Gandhi Nagar,824162,Mumbai,Andhra Pradesh,Collection Site
King Institute of Preventive Medicine,Ring Road,609307,Pune,Kerala,Private Laboratory
King Institute of Preventive Medicine,Ring Road,435843,Ahmedabad,Rajasthan,Government Laboratory
SRL Diagnostics,Gandhi Nagar,683450,Lucknow,Punjab,Collection Site
All India Institute of Medical Sciences,Salt Lake,468982,Hyderabad,Uttar Pradesh,Government Laboratory
SRL Diagnostics,Sector 12,610497,Ahmedabad,Telangana,Government Laboratory
Government Medical College,MG Road,567285,Bengaluru,West Bengal,Government Laboratory
Government Medical College,Sector 12,603938,Chennai,Tamil Nadu,Collection Site
National Institute of Virology,Gandhi Nagar,213112,Jaipur,Kerala,Private Laboratory
King Institute of Preventive Medicine,Ring Road,773540,Chennai,Karnataka,Private Laboratory
All India Institute of Medical Sciences,Salt Lake,203473,Delhi,Maharashtra,Private Laboratory
Metropolis Healthcare Lab,Civil Lines,464984,Chennai,Delhi,Collection Site
King Institute of Preventive Medicine,Salt Lake,568594,Mumbai,Punjab,Government Laboratory
National Institute of Virology,Sector 12,371687,Chennai,Gujarat,Private Laboratory
All India Institute of Medical Sciences,Gandhi Nagar,613887,Pune,West Bengal,Collection Site
SRL Diagnostics,Sector 12,294111,Mumbai,Punjab,Government Laboratory
Christian Medical College Lab,Jubilee Hills,281726,Bengaluru,Rajasthan,Collection Site
,,732674,,,
King Institute of Preventive Medicine,Civil Lines,486097,Bengaluru,Rajasthan,Collection Site
Government Medical College,Civil Lines,523293,Kolkata,Rajasthan,Government Laboratory
Apollo Diagnostics Lab,MG Road,850709,Pune,Tamil Nadu,Private Laboratory
Apollo Diagnostics Lab,Salt Lake,431839,Jaipur,Rajasthan,Collection Site
National Institute of Virology,Ring Road,260059,Mumbai,Maharashtra,Government Laboratory
All India Institute of Medical Sciences,Gandhi Nagar,569963,Mumbai,Kerala,Private Laboratory
All India Institute of Medical Sciences,Jubilee Hills,633444,Lucknow,Andhra Pradesh,Government Laboratory
Apollo Diagnostics Lab,Station Road,488982,Ahmedabad,Gujarat,Private Laboratory
,,419221,,,
King Institute of Preventive Medicine,Salt Lake,643748,Pune,Karnataka,Private Laboratory
King Institute of Preventive Medicine,Jubilee Hills,439301,Chennai,Gujarat,Collection Site
