Date,State,TotalSamples,Negative,Positive
2020-04-04,Telangana,27619373.78,21345250,2069981
2020-12-06,Gujarat,15042053.54,14491356,4249048
2021-07-06,Telangana,16963251.94,27836702,448337
2021-05-27,Telangana,7494151.83,1405325,3126604
,,2858445.61,29783480,4068235
2021-02-19,Odisha,27557122.78,10901932,5348793
2020-09-29,Gujarat,38857818.47,2193150,192800
2020-11-10,Andhra Pradesh,34774685.57,18479308,5943843
2020-06-26,Maharashtra,24231928.46,34438575,4282026
2021-01-29,Karnataka,13490730.69,31701639,1151963
2020-04-13,Rajasthan,39629894.59,15095398,2661487
2021-02-08,Assam,28080256.63,6953641,81431
2021-04-18,Bihar,24162898.88,18003812,3101020
2021-05-22,West Bengal,21151090.15,18998933,4530200
2021-01-07,Odisha,33217790.56,23320203,1416958
2020-04-06,Andhra Pradesh,8949036.16,28812213,2493609
2021-04-06,Uttar Pradesh,17570937.22,13695377,1484436
2020-04-04,Telangana,23211876.99,21076109,1926867
2020-09-21,Punjab,31757054.03,20024548,2186001
2020-11-20,Karnataka,21513145.03,17543633,488208
2021-02-14,Maharashtra,35244052.93,11016450,4591235
2020-09-28,Bihar,36281830.81,25461069,2401542
2020-12-10,Tamil Nadu,20708795.61,30731971,2198135
2020-06-01,Uttar Pradesh,13603636.45,3197267,4753143
2021-04-09,Bihar,22184550.28,4993820,5595358
2021-08-05,Karnataka,23461293.12,18324486,1796715
2020-07-26,Gujarat,22996458.95,15079840,1863561
2020-10-28,West Bengal,32838961.29,34665352,3774725
2021-02-07,Uttar Pradesh,162797.07,34820285,2928354
2020-09-25,Uttar Pradesh,16570288.63,3808629,5230810
2021-08-10,West Bengal,21188341.55,14523907,2341458
2021-05-21,Assam,12199834.78,29029837,1925801
2021-07-30,Kerala,34550514.65,33463408,2415672
2021-01-16,Assam,5796412.31,5521518,1317369
2020-09-30,Tamil Nadu,37434152.34,14102612,942096
2020-07-01,Bihar,22700225.55,11492499,698865
2021-01-07,Andhra Pradesh,28938152.58,17184211,4042735
2020-06-07,Odisha,15669656.99,34462961,1927055
2020-04-25,Bihar,30871695.22,7400839,1150868
2020-07-19,Bihar,22448027.27,22608455,5999024
2021-03-27,Uttar Pradesh,6890857.67,34615672,2722559
2021-03-14,Telangana,3804295.77,18744119,2593990
2021-04-01,Odisha,29945615.91,24128283,1084773
2020-04-30,Telangana,34328091.61,23549834,5995819
2021-07-02,Maharashtra,15784377.29,25407098,2558571
2020-12-08,Tamil Nadu,24469485.68,15458161,1414469
2020-06-18,Gujarat,36352661.48,19694199,2278349
2020-08-19,Karnataka,19887403.38,21898801,4288193
2020-10-04,Gujarat,35581781.46,21151877,5174723
2020-07-11,Delhi,25022205.2,10329892,837721
,,16874392.71,33685751,1103975
2021-02-09,Gujarat,18539132.88,12889691,3545503
2020-11-15,Rajasthan,27986867.56,2295444,1273846
2020-08-09,Bihar,3259358.15,23356048,2502261
2020-11-28,Tamil Nadu,36418824.8,19476244,4108486
2021-06-13,Tamil Nadu,36431607.32,10110026,4638758
2021-04-15,Delhi,14389716.92,7453260,2039215
2021-05-25,Gujarat,5682719.99,5146323,2130656
2021-02-21,Kerala,36344841.6,12963384,1937666
2021-08-07,Tamil Nadu,2000857.64,15971996,5960539
2020-09-13,Odisha,2342262.62,18482258,1264515
2020-08-13,Delhi,25672932.54,22511222,3329172
2020-07-29,Tamil Nadu,19619139.08,26727177,298531
2020-07-23,Delhi,14920312.04,9976712,4495243
2020-10-01,Punjab,25092911.34,27326403,3862230
2020-08-20,Punjab,5688804.86,12549934,3973577
2020-04-02,Telangana,24053071.28,2170683,3891811
2020-08-08,Uttar Pradesh,201943.71,14775389,4560082
2021-01-09,Telangana,19668314.8,21146591,2725540
,,29902593.08,34527158,5234963
2020-12-12,Uttar Pradesh,16304840.38,2925230,1995474
2020-09-27,Tamil Nadu,21356123.92,1624752,1364979
2021-02-03,Gujarat,14766037.44,20051484,897794
2021-07-22,Bihar,8743768.58,21471534,1468909
2020-07-25,Assam,15609861.9,34664111,874570
2021-02-22,Andhra Pradesh,25051322.96,1741023,4310755
2020-11-30,West Bengal,14408854.49,18823847,3060268
2020-07-24,Assam,16552709.91,31127705,1325441
2021-07-01,Delhi,4225230.42,2650404,4487698
2020-11-10,Assam,31387268.63,7733636,4352324
2020-10-22,Delhi,26893472.83,22832582,4935811
2021-06-22,Kerala,25706608.6,34478223,2723453
2020-07-20,Karnataka,441182.18,29500507,4316334
2021-02-05,Maharashtra,33407265.96,17579321,2439182
2020-10-31,Gujarat,4218703.22,8018947,5967676
2021-04-17,Delhi,37165622.37,16717732,4783166
2020-09-19,Bihar,6097653.77,5344253,4954725
2021-07-13,West Bengal,15990353.5,11294751,2934807
2021-04-25,Telangana,22776347.95,13432042,4374962
2021-07-13,Punjab,32302200.52,25106597,2214799
2020-10-20,Andhra Pradesh,27504458.2,17875054,4620033
2020-07-16,Kerala,4194405.01,25314805,1194823
2021-07-23,Karnataka,20990920.57,10684393,5328685
2021-02-16,Tamil Nadu,20008233.96,30710483,3126005
2021-08-06,Maharashtra,23687258.04,13716256,4559129
2021-04-22,Kerala,19229499.75,3396209,4201425
2020-09-24,Kerala,16106940.15,32043503,580473
2020-12-19,Maharashtra,30806697.59,14541714,486284
2021-06-11,Karnataka,32085552.42,7305043,2557917
2021-03-02,Telangana,11579547.37,3271959,3435130
2020-09-11,Andhra Pradesh,19545903.55,29489871,3199841
2021-04-19,Rajasthan,906265.24,15177982,923810
2020-09-28,Bihar,13346266.23,3430413,2878915
2021-05-28,Kerala,5947528.29,17517939,2839754
2020-06-02,Rajasthan,28163731.99,7677071,2241863
2021-03-30,Odisha,36546684.64,18109798,3778502
2021-03-01,Karnataka,13281396.59,25946004,5490841
2021-05-28,Gujarat,17931487.41,26019471,3367998
2020-07-06,Telangana,19673152.05,2945550,3943636
2021-06-28,Andhra Pradesh,14126584.38,12938397,3945290
2020-09-14,Karnataka,13412914.25,34269632,1244033
2021-06-20,Delhi,13016853.9,30827891,287178
2021-02-16,Assam,36245765.68,20079706,1622974
2020-09-27,Telangana,31671080.68,30552905,4582306
2021-04-16,Punjab,7335674.32,12309093,2641780
2020-08-19,Telangana,18875971.74,19080528,2893582
,,23895550.27,26201739,2530880
2021-03-03,Tamil Nadu,10856415.38,10651156,954014
2020-09-16,Karnataka,32428979.55,33888804,4083333
2021-08-10,Delhi,9044148.36,8247087,3518695
2021-05-19,Kerala,32326512.27,6367732,5012632
2020-05-18,West Bengal,24027045.1,29216175,5981848
2020-12-18,Telangana,32312411.88,25192890,3788300
2020-11-15,Bihar,34963102.47,20328059,4401055
2021-05-02,Gujarat,31937237.95,32425110,1227885
2020-05-27,Gujarat,39497545.54,5734961,3675806
2020-10-28,Maharashtra,169023.15,23846398,3272324
2020-09-15,Uttar Pradesh,14837442.61,24078173,3704173
