Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
740,2020-07-05,8:00 PM,Delhi,-,14,3097414,85598,3050626
551,2020-06-19,8:00 PM,Tamil Nadu,5,14,31868,26523,3761394
407,2020-12-14,6:00 PM,Karnataka,5,0,2386344,32940,3105526
447,2020-08-16,6:00 PM,Delhi,8,1,214404,47262,2714912
150,2021-01-16,8:00 PM,Delhi,0,-,1928253,11073,1579411
209,2021-04-09,8:00 PM,Kerala,2,-,284153,16442,5263540
661,2021-07-26,9:00 AM,Bihar,8,1,354628,86647,2277921
413,2021-05-31,8:00 AM,Kerala,0,0,4157563,88945,2205124
583,2020-03-24,6:00 PM,Andhra Pradesh,5,0,4306140,107831,5030396
362,2020-05-20,9:00 AM,Punjab,-,2,4623612,31034,785308
58,2021-06-24,5:00 PM,Uttar Pradesh,0,1,2614163,86655,4144669
511,2021-03-27,8:00 PM,Andhra Pradesh,1,14,4316697,89548,5778288
441,2021-02-14,5:00 PM,Karnataka,0,14,4325651,30234,1000196
14,2020-03-31,8:00 AM,Assam,2,1,3535039,77588,4159024
794,2020-07-12,6:00 PM,Maharashtra,5,14,3192321,28650,3733593
533,,,,,,3731157,26598,1517308
114,2020-11-06,9:00 AM,Assam,5,0,1666693,31304,382405
794,2020-09-29,6:00 PM,Andhra Pradesh,2,-,4748159,80612,584223
898,2020-05-14,8:00 PM,Telangana,2,0,1604981,80882,1228194
649,2020-03-15,8:00 AM,Andhra Pradesh,2,1,1074883,85831,4045213
684,2021-08-05,5:00 PM,Andhra Pradesh,1,0,3591371,51259,1073715
199,2020-12-15,9:00 AM,Tamil Nadu,-,-,3806765,47357,3869902
570,2021-03-31,9:00 AM,Gujarat,-,14,4323068,76294,5917097
490,2020-02-14,8:00 PM,Andhra Pradesh,-,-,4473453,35490,5939987
282,,,,,,2676269,59905,178346
414,2020-08-27,6:00 PM,West Bengal,0,0,2254329,119292,3051381
847,2020-12-02,9:00 AM,West Bengal,3,14,2351442,77321,2115767
