Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2021-02-01,Bihar,17263747.91,218417,27926,2133062,6069323,19007414,13126748,2057,5953998,30747156,127441,1584,12904483,2403625,11494296,14389558,8412006,7247291,4996757,10830253,413,29602674.87
,,33912970.9,130552,,13226010,10761420,7102061,2169149,4522,2118542,1612262,85563,14181,15341670,14574586,8621087,13405753,387491,7369787,784188,15004229,161,13578206.54
2021-05-04,Andhra Pradesh,42236894.49,16005,17455,31709488,9698377,18146791,2911333,3152,6902538,37488061,33185,7933,1631985,3027952,5664745,9277597,8890280,3495575,10462267,925229,2255,8048305.15
2021-05-20,Telangana,3487910.66,198007,28908,2725247,3618830,15904410,4077011,3768,7124672,16152946,155307,1456,10972215,669982,10515101,4001587,1539667,1710359,17819669,15764675,700,13113835.88
2021-07-04,Telangana,1843022.64,256651,8402,27888902,2413734,19263889,15570840,564,1897001,4762533,176338,9640,3200636,11735190,7056998,1828157,271250,8089249,377210,15844713,177,31931102.17
2021-04-26,Assam,6221945.91,204678,14514,28574976,4777614,6484208,4328129,614,2049202,26570853,122537,24487,11752328,9355599,8611147,7828925,5856724,4735776,710120,2049522,1633,33948919.6
2021-03-16,Maharashtra,38792305.71,162834,5056,31530649,5430391,23310667,13799219,4629,7207804,13331777,25065,26421,2997386,11882551,11341661,17406717,6304920,3592953,2199031,9975048,3351,38424752.06
2021-04-22,Tamil Nadu,11467432.43,247001,9001,25876620,916643,1012591,7082150,1183,5734981,7830584,108014,24509,19801286,8479476,584036,10142247,4381878,4437955,19431828,14588561,3898,39428868.55
2021-07-25,Maharashtra,5987421.76,293463,29355,29179713,11974649,3927654,23268701,2051,4187486,27093298,157894,15524,18860436,5519480,7960952,17565102,8799100,9024536,19997821,16028277,856,26590370.49
2021-07-14,Assam,43148247.18,26589,7002,30709162,1525715,12707608,15145340,3887,598100,26749462,958,19550,435336,13517453,1335256,16743955,5573826,9960239,8061217,1373467,3291,13492640.91
2021-05-14,Odisha,15937319.49,220613,18712,20517017,598228,4030930,3737765,4224,1459666,15773093,120964,11160,19030619,5060948,5162043,7512586,9515282,7860790,11642386,7457129,3615,34791310.16
2021-06-29,Gujarat,10114659.79,57789,29971,35984945,11774057,22751875,16094069,3729,3778213,26559653,66601,12918,11922999,9787530,3021809,10419518,5131329,5181051,6724002,3790459,2602,1292936.99
2021-04-14,Rajasthan,4698880.55,115402,4582,1972454,5417461,8967297,12669096,713,5150311,9295776,30697,13122,830990,2627623,2195220,1682702,11068523,6936485,14829423,8261219,462,37519114.36
2021-06-25,Punjab,9971702.31,211169,3567,10769339,6043792,13317365,5512512,4766,6618079,36884050,172763,21708,12095166,9471289,8717515,11547103,3553902,8286179,8136357,2204293,3950,15047160.76
,,49841093.72,296290,,28092120,6625657,10869018,8957280,109,6537539,38948075,172492,18505,9272279,9373564,9776557,8581552,6343631,2926109,11476824,1739982,3403,21796623.96
2021-02-27,Gujarat,15714656.76,289202,259,39118560,10908693,7029783,13753411,760,1393276,37385708,1587,8564,353260,5439746,8285079,9429626,10383448,3390473,17727995,6872638,2360,4520686.97
2021-03-22,Odisha,14947135.54,204281,26386,1393472,5166751,24621805,22454624,3109,487436,21055081,19239,27678,14617543,7890278,10335029,12774939,7525353,2277412,196754,12878197,3870,38943425.8
2021-08-10,Maharashtra,29279855.36,73133,20054,34863340,2003525,4622718,16200026,4563,2963486,1884526,11479,19019,9245269,4952805,10373673,3756571,5883280,4032082,2932941,15533238,1169,14925116.49
2021-07-08,Bihar,41744573.33,274661,11091,34607388,11250644,11348620,2270836,1145,7904042,29006685,179069,19042,15830545,5081224,7157031,8982072,11985581,8404156,2040687,13217951,159,8332844.87
2021-02-27,Andhra Pradesh,4998307.04,269492,9771,20467475,3706648,5987580,8311958,4619,5964928,28204714,104526,22980,14729186,4597706,11104747,17318898,3025639,5861268,10244971,14219730,142,3030274.6
2021-07-18,Andhra Pradesh,2786678.72,275482,1912,32569852,6353986,10495284,16486521,771,7458198,19239270,168073,20987,13376159,724225,957955,4489913,9035499,7218333,19786956,17424565,393,13606073.39
2021-05-18,Assam,27660140.94,122720,29273,30867217,7696605,14121081,12126191,4525,3265478,21712969,37519,4433,14688243,12122098,909102,4984364,1001556,4999890,17370700,16258633,1636,35327703.9
2021-03-03,Odisha,5578539.56,205297,8923,29397891,122975,14915748,18977218,4374,1101875,38616294,127248,27179,8769039,10801058,3472377,12134849,12481897,5684666,14933755,12775434,1344,30524130.98
2021-07-20,Tamil Nadu,17503716.89,61953,15954,32456222,6116109,2398245,4281828,4743,1978632,13609833,30336,24125,7139260,6262437,336924,4210460,7129589,1532099,14926407,1243022,1927,31295892.94
2021-05-01,Assam,22448519.52,184885,16661,26772918,11768663,14433786,19616596,1210,1643562,321804,52885,23578,665268,1599597,5567478,2963146,2542091,5643783,19548427,14061793,1789,31333039.34
2021-06-06,Bihar,24272738.61,33791,14340,31113608,6323160,14821445,17910188,2935,7424671,2998990,59370,12943,8485140,9051444,8515463,9030159,9273751,9747333,5795131,15158736,1643,27328324.86
2021-04-30,Gujarat,38415977.66,242534,7604,37594632,4918481,21210379,9203900,3483,2215835,23479126,87187,10824,19497509,12621594,1123982,12446794,6283269,4420542,15544937,7563060,174,25526524.26
2021-04-29,Rajasthan,10795159.41,59094,17377,8539731,4109610,3439379,6495696,739,4340060,37337448,189475,6473,13235077,4911745,7239768,9014045,12297036,8768886,11280328,7102368,1392,1767665.87
2021-05-13,Uttar Pradesh,44368243.54,93366,9245,13359247,774518,2575422,9025615,4142,4889011,30717267,171309,27526,14478472,13232309,7882616,14905950,12776125,2243080,8502563,5947883,3548,35506687.75
2021-07-13,Kerala,22350640.64,15219,29438,7868324,6061286,15324970,15739979,594,5068802,2809685,125341,22391,1076985,6398659,1997657,10382713,6508825,912257,6161338,4675535,3648,22292411.15
2021-03-24,Tamil Nadu,16418551.24,262176,5085,27301220,7401311,13172826,12656597,1958,1332220,37364032,71226,11170,12238215,4970005,1340311,5837217,6998880,4818625,18144823,5933272,3103,22452409.96
2021-04-09,Kerala,37247468.79,61453,8382,35209307,8476985,1724414,4952906,739,1421638,31838996,69181,4793,17797975,8709217,1322153,7456873,8946709,3384545,8287802,17741262,3977,4728586.57
2021-05-20,Kerala,24348626.02,158550,29230,38015358,5329279,5084169,9232471,2674,2979956,28007140,36442,21434,14362433,12551545,4869454,10571624,6880435,8156206,2971958,15731424,929,36950383.08
2021-07-03,India,12031904.51,259338,272,12205104,10056049,21301469,15766020,4438,7251831,12654506,30121,27014,15453292,11917568,7260029,13236773,6145582,3202688,4033734,16058413,3522,39867832.63
2021-07-17,Tamil Nadu,6118340.85,176427,13468,27181124,11278663,341470,17187663,3451,2796169,1334435,134320,23722,17988618,8747051,11104886,9103284,10754673,6887706,10677797,7458091,2997,16805706.4
2021-03-24,Rajasthan,26659449.89,97965,20794,8189202,10228032,18996231,6895213,3189,6868291,13128672,181099,11808,7870339,6591973,9327833,13213394,2896789,5160046,16120680,14487901,2692,9562211.59
2021-06-26,Bihar,20333526.88,57897,17240,30426647,6822219,23734855,14067788,1725,5175615,11303237,172709,12197,12245535,7122951,242689,4780548,4817824,1639831,1738673,12503320,3671,36231834.06
2021-06-07,Karnataka,13904427.18,265520,18245,23290464,381640,17635112,22207043,1405,2143865,9109693,51886,29469,13287826,6787655,986147,13519320,2726925,8772013,1955776,12892699,3730,5739360.78
2021-06-06,Rajasthan,12006204.95,160383,20551,25334791,9008405,11931207,9195490,607,7825194,17431184,126067,23412,47154,663073,2718756,16856108,1294881,3124879,12100133,3359149,3463,33362320.98
2021-02-09,Karnataka,20486128.69,162820,25082,771088,2652161,15207164,18526987,1115,7115817,22535118,69513,14600,6272597,8940548,11214535,5047300,9635941,4116900,2202690,15636186,129,17941726.49
2021-05-03,Maharashtra,41003097.0,40673,2191,3143900,10907051,6196448,21415586,618,6667274,3707776,97350,14664,5221367,13563570,3390832,8226816,12479675,3336351,7790530,10606955,2917,22068180.7
2021-07-18,Delhi,37127455.27,84625,22888,39160140,10068215,10792026,23980370,2953,2503207,28649202,193057,25083,1782077,1549636,5043978,15916261,7881565,561138,14980985,1989461,2845,884648.54
2021-06-15,West Bengal,31357268.34,46703,22244,26364504,2602479,25488664,18755477,2691,4902700,8818617,156525,14677,5573006,2234985,310299,12652196,1161851,8247396,8966129,1788099,2462,1395431.08
2021-05-09,Odisha,7774831.75,199328,1964,38140375,4789609,13735360,15542393,3845,2576942,30965519,64489,1323,8587100,7708284,692271,9866986,229117,9468633,658296,4671919,3056,24164044.17
2021-02-17,Maharashtra,47248611.93,144318,10654,28403056,6681452,24662617,13007063,4218,6476151,37404712,50125,27995,6299234,12723338,5995290,1330824,4346273,9940032,2093709,12514068,499,13949451.55
2021-07-16,Rajasthan,3911656.57,251600,14695,13972236,10999248,190099,23911136,1731,88081,40830927,178083,9573,13267550,3165529,3507237,3686954,11243626,7380477,3138404,7302688,616,20885559.31
2021-06-11,Karnataka,17007698.09,116884,23676,17797108,10154006,11215589,5009116,4553,4642155,1761567,196593,25941,8292979,13269710,3951223,6591348,11222620,6528607,8298433,7141994,1047,17828171.11
