Sno,State / Union Territory,Population,Rural population,Urban population,Area,Density,Gender Ratio
717,Jammu and Kashmir,10667395,98335292,29659097,3702 km2,555/km2,930
56,Punjab,38695497,144012758,37360684,308350 km2,11297/km2,895
972,Odisha,104076996,87608026,54644510,342239 km2,1102/km2,896
990,Delhi,12348943,31437628,22581280,3702 km2,382/km2,914
886,Jammu and Kashmir,41489424,90068008,567232,240928 km2,1102/km2,1047
339,Assam,56751055,41367922,3586913,342239 km2,11297/km2,859
553,Madhya Pradesh,127282931,115616466,3755066,94163 km2,414/km2,1019
184,Jammu and Kashmir,86244993,60101222,20808981,308350 km2,828/km2,1020
193,Andhra Pradesh,111955494,80659564,18496173,83743 km2,414/km2,1020
880,Uttar Pradesh,63158970,25755100,12801737,135192 km2,414/km2,1016
549,Jammu and Kashmir,82579727,10917629,50249747,94163 km2,11297/km2,931
841,Rajasthan,29376155,24212461,1501162,308350 km2,1102/km2,1079
699,Chhattisgarh,21984371,62528880,52968979,135192 km2,414/km2,880
908,Telangana,83988415,112316832,52244108,191791 km2,1102/km2,1031
850,Karnataka,198019778,113604167,29363676,94163 km2,555/km2,880
812,Odisha,143405888,31196920,18861955,135192 km2,382/km2,854
822,Jharkhand,176334987,62185410,9668305,83743 km2,11297/km2,892
531,West Bengal,132495757,80563701,34568141,162968 km2,1102/km2,1016
155,Karnataka,24299400,81792604,7692054,135192 km2,1102/km2,963
951,Punjab,181728967,16737890,47912260,83743 km2,1102/km2,1005
289,Maharashtra,192914039,107154266,36855578,3702 km2,828/km2,909
1,Delhi,88963575,3577449,32330780,240928 km2,382/km2,928
793,Andhra Pradesh,55513146,33525015,45824796,191791 km2,414/km2,908
824,Bihar,4811750,56661469,3697572,3702 km2,11297/km2,1064
896,Uttar Pradesh,89695374,73544738,59367233,3702 km2,828/km2,930
203,Kerala,129311410,40044676,46611086,3702 km2,828/km2,967
610,Telangana,157608332,36243087,34580457,191791 km2,11297/km2,1044
815,Assam,147575671,23541422,36962594,162968 km2,414/km2,865
163,Maharashtra,114075668,77404795,52838175,135192 km2,1102/km2,861
875,Odisha,160320784,140286907,8198380,94163 km2,414/km2,959
665,,180376167,60734390,6443259,,,1037
847,,174128555,91282609,20212408,,,990
429,Bihar,82982056,126064762,49789951,240928 km2,11297/km2,889
145,Haryana,149968468,14277378,29545011,162968 km2,555/km2,910
105,Assam,169234357,67420249,46614235,191791 km2,1102/km2,1036
267,Uttar Pradesh,160864866,106368970,16775060,191791 km2,555/km2,1081
789,Telangana,136635676,48993461,38093881,342239 km2,1102/km2,992
687,Madhya Pradesh,15413395,79980229,4225343,162968 km2,414/km2,1009
924,Haryana,58306756,109456217,2228112,308350 km2,414/km2,897
759,Jharkhand,84667415,137641977,57064340,308350 km2,1102/km2,1020
185,,160779446,52027473,12610460,,,942
111,,6254245,128555794,43634756,,,896
466,Telangana,185095479,120046579,58506966,191791 km2,382/km2,1013
406,Kerala,97260969,3857924,57072280,162968 km2,1102/km2,1079
149,Uttar Pradesh,27354521,142692994,35759749,162968 km2,828/km2,935
430,Andhra Pradesh,190152565,23894106,14054620,342239 km2,414/km2,1062
