loan_id,loan_amount,region
1,5944.02,North
2,8125.22,East
3,1549.58,Central
4,7941.9,South
5,5644.61,East
6,5123.06,South
7,6883.88,West
8,2874.89,West
9,5439.96,Central
10,3848.16,North
11,5515.86,North
12,6567.67,West
13,3275.98,East
14,8216.69,West
15,5560.35,Central
16,7476.04,North
17,5268.0,Central
18,8749.2,West
19,633.16,East
20,5269.89,North
21,9238.9,East
22,7378.79,North
23,6429.45,East
24,2643.85,North
25,1015.18,West
26,6933.86,North
27,994.5,South
28,1996.19,Central
29,1019.39,North
30,573.59,East
31,3537.06,North
32,8965.99,South
33,5744.17,East
34,7867.74,West
35,9349.75,North
36,5481.68,South
37,6391.74,West
38,6499.75,North
39,6630.17,North
40,5266.73,Central
