state,subregion,region
East,West,North
North,East,South
Central,East,East
Central,South,South
Central,North,North
West,West,Central
Central,East,Central
South,South,West
Central,South,Central
West,South,East
East,West,Central
Central,East,East
North,West,West
East,Central,South
West,East,East
West,South,South
North,East,South
West,North,East
Central,West,East
West,North,East
East,West,West
North,West,Central
Central,Central,East
North,East,North
East,West,North
Central,South,West
Central,South,North
East,West,Central
East,North,South
West,East,East
East,Central,West
Central,South,Central
South,West,East
South,East,South
Central,East,Central
,,
West,West,Central
East,Central,Central
West,South,North
Central,South,West
