DEPARTMENT_KEY,Encounter CSN,Parent Hospital,Hospital,Unit,Patient Class,Census Date,Census Count,Census Count Adults,Census Count Peds
1,983,Parent Hospital_1,Hospital_1,Unit_1,Gamma,2023-07-08,466,701,714
2,763,Parent Hospital_2,Hospital_2,Unit_2,Beta,2022-06-06,823,73,128
3,686,,,,,,954,699,60
4,608,Parent Hospital_4,Hospital_4,Unit_4,Beta,2020-11-25,556,395,329
5,313,Parent Hospital_5,Hospital_5,Unit_5,Alpha,2020-10-22,974,704,755
6,903,Parent Hospital_6,Hospital_6,Unit_6,Gamma,2020-10-09,405,168,627
7,158,Parent Hospital_7,Hospital_7,Unit_7,Alpha,2019-04-17,619,404,794
8,843,Parent Hospital_8,Hospital_8,Unit_8,Alpha,2022-08-26,486,148,698
9,733,Parent Hospital_9,Hospital_9,Unit_9,Delta,2024-06-03,874,904,922
10,431,Parent Hospital_10,Hospital_10,Unit_10,Delta,2020-06-02,814,36,926
11,446,Parent Hospital_11,Hospital_11,Unit_11,Delta,2018-09-06,225,634,881
12,601,Parent Hospital_12,Hospital_12,Unit_12,Gamma,2022-12-26,321,143,340
13,529,Parent Hospital_13,Hospital_13,Unit_13,Epsilon,2021-02-06,927,338,624
14,31,Parent Hospital_14,Hospital_14,Unit_14,Epsilon,2022-01-10,582,38,148
15,253,Parent Hospital_15,Hospital_15,Unit_15,Epsilon,2024-07-01,399,383,226
16,76,Parent Hospital_16,Hospital_16,Unit_16,Gamma,2024-06-13,953,643,770
17,297,Parent Hospital_17,Hospital_17,Unit_17,Beta,2021-03-19,364,153,383
18,265,Parent Hospital_18,Hospital_18,Unit_18,Alpha,2020-11-05,928,236,511
19,768,Parent Hospital_19,Hospital_19,Unit_19,Gamma,2021-05-06,715,182,304
20,550,Parent Hospital_20,Hospital_20,Unit_20,Alpha,2024-07-17,906,834,2
21,371,Parent Hospital_21,Hospital_21,Unit_21,Alpha,2020-06-14,153,381,501
22,833,Parent Hospital_22,Hospital_22,Unit_22,Beta,2024-07-28,760,130,780
23,30,Parent Hospital_23,Hospital_23,Unit_23,Gamma,2018-03-22,378,378,962
24,92,Parent Hospital_24,Hospital_24,Unit_24,Epsilon,2022-01-14,725,815,988
25,503,Parent Hospital_25,Hospital_25,Unit_25,Alpha,2019-07-20,731,949,81
26,570,Parent Hospital_26,Hospital_26,Unit_26,Alpha,2018-08-24,132,631,93
27,917,Parent Hospital_27,Hospital_27,Unit_27,Gamma,2021-05-23,468,396,270
28,217,Parent Hospital_28,Hospital_28,Unit_28,Epsilon,2019-09-20,917,327,249
29,302,Parent Hospital_29,Hospital_29,Unit_29,Gamma,2019-10-23,400,85,768
30,720,Parent Hospital_30,Hospital_30,Unit_30,Alpha,2023-05-21,976,728,270
31,537,Parent Hospital_31,Hospital_31,Unit_31,Beta,2018-12-17,116,362,892
32,315,Parent Hospital_32,Hospital_32,Unit_32,Delta,2022-11-22,978,274,150
33,118,Parent Hospital_33,Hospital_33,Unit_33,Beta,2018-11-01,611,985,299
34,144,Parent Hospital_34,Hospital_34,Unit_34,Alpha,2023-07-31,312,776,799
35,745,Parent Hospital_35,Hospital_35,Unit_35,Gamma,2022-11-23,205,526,80
36,53,Parent Hospital_36,Hospital_36,Unit_36,Epsilon,2021-01-27,679,498,670
37,97,Parent Hospital_37,Hospital_37,Unit_37,Delta,2019-12-19,230,88,556
38,591,Parent Hospital_38,Hospital_38,Unit_38,Alpha,2019-06-28,96,114,909
39,770,Parent Hospital_39,Hospital_39,Unit_39,Epsilon,2024-11-16,556,256,749
40,836,Parent Hospital_40,Hospital_40,Unit_40,Delta,2024-07-29,752,238,384
41,703,Parent Hospital_41,Hospital_41,Unit_41,Beta,2024-03-06,643,214,307
42,747,Parent Hospital_42,Hospital_42,Unit_42,Gamma,2020-10-05,192,859,329
43,130,Parent Hospital_43,Hospital_43,Unit_43,Delta,2024-11-09,879,379,836
44,263,Parent Hospital_44,Hospital_44,Unit_44,Delta,2019-07-07,18,511,718
45,256,Parent Hospital_45,Hospital_45,Unit_45,Beta,2019-04-03,607,185,611
46,779,Parent Hospital_46,Hospital_46,Unit_46,Beta,2024-06-04,313,870,820
47,446,Parent Hospital_47,Hospital_47,Unit_47,Delta,2024-01-11,539,703,322
48,62,Parent Hospital_48,Hospital_48,Unit_48,Alpha,2019-12-15,607,148,585
49,131,Parent Hospital_49,Hospital_49,Unit_49,Epsilon,2023-04-07,648,208,545
50,833,Parent Hospital_50,Hospital_50,Unit_50,Delta,2021-10-26,226,208,791
51,297,Parent Hospital_51,Hospital_51,Unit_51,Gamma,2022-10-11,950,90,942
