Postal Code;City;State;Region;Country/Region
279;Springfield;East;Central;South Korea
716;Madison;North;South;United States
338;Springfield;East;Central;Canada
574;Riverton;West;East;Japan
707;Georgetown;North;North;South Korea
292;Madison;East;Central;Japan
762;Fairview;South;West;South Korea
599;Madison;East;South;United Kingdom
544;Fairview;West;Central;Japan
266;Springfield;West;West;South Korea
272;Springfield;South;East;Japan
530;Fairview;East;Central;Japan
158;Georgetown;West;North;United Kingdom
546;Clinton;South;South;Brazil
231;Clinton;North;East;Australia
382;Madison;Central;East;Germany
82;Georgetown;Central;Central;United Kingdom
471;Springfield;East;South;South Korea
427;Riverton;East;Central;United States
394;Madison;East;North;South Korea
272;Madison;West;East;Australia
939;Madison;South;North;Canada
795;Fairview;North;South;Brazil
999;Springfield;North;East;Japan
779;Riverton;South;North;Brazil
844;Clinton;South;Central;Canada
839;Madison;North;Central;Canada
678;Springfield;West;Central;Australia
84;Madison;West;South;United States
221;Springfield;North;Central;United States
233;Springfield;Central;South;South Korea
831;Georgetown;West;West;Japan
768;Fairview;Central;Central;United States
267;Clinton;North;East;France
215;Fairview;West;West;Brazil
692;Springfield;West;North;United Kingdom
796;Georgetown;West;South;South Korea
441;Fairview;South;East;India
807;Madison;North;South;United States
481;Clinton;North;West;United Kingdom
783;Fairview;West;South;France
219;Riverton;North;East;United Kingdom
240;Clinton;West;South;India
253;Georgetown;Central;South;South Korea
199;Madison;North;South;Brazil
115;Fairview;North;North;Germany
491;Georgetown;East;West;Australia
756;Georgetown;West;East;Brazil
670;Clinton;West;North;India
942;Georgetown;Central;East;Canada
743;Georgetown;West;Central;France
670;Madison;Central;North;Japan
104;Clinton;North;Central;Australia
294;Fairview;West;West;Canada
666;;;;
13;;;;
751;Fairview;East;North;United Kingdom
320;Springfield;North;West;India
993;Georgetown;Central;Central;India
457;Clinton;Central;Central;United Kingdom
403;Georgetown;Central;North;France
835;Georgetown;Central;North;France
454;Madison;South;Central;Germany
988;Georgetown;West;East;Japan
334;Riverton;East;South;United States
169;Riverton;North;South;Australia
918;Riverton;East;East;United Kingdom
456;Madison;East;Central;South Korea
780;;;;
625;Georgetown;North;West;United Kingdom
380;Springfield;Central;North;United Kingdom
550;Madison;West;Central;France
575;Riverton;West;West;South Korea
76;Fairview;West;West;Germany
230;Riverton;West;West;United States
180;Madison;Central;South;Australia
593;Clinton;North;West;Brazil
989;Springfield;North;North;Australia
732;Clinton;East;North;South Korea
948;Fairview;South;West;United Kingdom
424;Clinton;West;West;United Kingdom
119;Madison;Central;North;Germany
709;Madison;East;West;South Korea
978;Georgetown;Central;South;South Korea
655;Riverton;West;West;South Korea
876;Riverton;East;South;Germany
973;Riverton;West;South;Brazil
392;Clinton;West;South;Brazil
51;Riverton;North;Central;Brazil
99;Madison;East;West;France
740;Madison;West;East;Canada
332;Madison;North;North;Canada
203;Fairview;West;Central;Germany
116;Fairview;North;East;Brazil
900;Riverton;East;North;Germany
665;Springfield;East;East;Germany
798;Georgetown;South;West;Germany
180;Georgetown;South;North;Germany
330;Georgetown;North;East;India
549;Fairview;North;Central;Brazil
