Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Segment;Postal Code;Product ID;Sales;Quantity;Discount;Profit
377;Order ID_1;2021-12-22;2020-10-04;Ship Mode_1;Customer ID_1;Segment_1;660;Product ID_1;8416.22;824;968;4581.12
145;Order ID_2;2023-01-10;2023-02-09;Ship Mode_2;Customer ID_2;Segment_2;965;Product ID_2;4406.42;652;21;7.72
922;Order ID_3;2021-10-07;2019-04-07;Ship Mode_3;Customer ID_3;Segment_3;342;Product ID_3;7752.87;475;743;3706.84
315;Order ID_4;2021-09-26;2018-12-17;Ship Mode_4;Customer ID_4;Segment_4;717;Product ID_4;3979.36;220;811;959.67
643;Order ID_5;2024-02-01;2020-03-06;Ship Mode_5;Customer ID_5;Segment_5;875;Product ID_5;2471.58;726;296;8839.96
17;Order ID_6;2022-06-08;2023-02-06;Ship Mode_6;Customer ID_6;Segment_6;73;Product ID_6;7635.03;640;789;3438.97
984;Order ID_7;2023-09-16;2019-03-21;Ship Mode_7;Customer ID_7;Segment_7;656;Product ID_7;6953.16;350;280;3490.62
800;;;;;;;847;;6578.19;513;240;8923.95
244;Order ID_9;2020-05-19;2020-10-09;Ship Mode_9;Customer ID_9;Segment_9;56;Product ID_9;9553.56;195;440;6135.18
560;Order ID_10;2021-01-26;2024-04-18;Ship Mode_10;Customer ID_10;Segment_10;668;Product ID_10;720.5;180;635;8792.74
121;Order ID_11;2019-12-27;2021-08-23;Ship Mode_11;Customer ID_11;Segment_11;406;Product ID_11;7671.53;932;168;8853.32
295;Order ID_12;2019-10-01;2023-02-17;Ship Mode_12;Customer ID_12;Segment_12;964;Product ID_12;7029.53;833;140;84.53
347;Order ID_13;2018-07-20;2019-01-04;Ship Mode_13;Customer ID_13;Segment_13;409;Product ID_13;2504.86;43;497;4719.55
153;Order ID_14;2019-10-05;2021-08-01;Ship Mode_14;Customer ID_14;Segment_14;772;Product ID_14;3301.56;480;857;5176.77
638;Order ID_15;2019-01-25;2019-06-10;Ship Mode_15;Customer ID_15;Segment_15;970;Product ID_15;6038.34;687;948;5998.92
533;Order ID_16;2023-12-07;2020-06-30;Ship Mode_16;Customer ID_16;Segment_16;872;Product ID_16;1219.48;389;967;8881.4
386;Order ID_17;2024-08-18;2022-08-29;Ship Mode_17;Customer ID_17;Segment_17;50;Product ID_17;8065.5;588;111;305.2
645;Order ID_18;2023-10-31;2023-05-10;Ship Mode_18;Customer ID_18;Segment_18;60;Product ID_18;2713.99;46;480;3062.31
774;Order ID_19;2024-10-21;2018-08-09;Ship Mode_19;Customer ID_19;Segment_19;705;Product ID_19;2134.76;591;223;5071.3
587;Order ID_20;2021-04-14;2024-10-12;Ship Mode_20;Customer ID_20;Segment_20;288;Product ID_20;5885.94;585;292;999.74
391;Order ID_21;2018-03-30;2023-11-01;Ship Mode_21;Customer ID_21;Segment_21;447;Product ID_21;2464.23;426;136;2551.64
171;Order ID_22;2019-11-01;2021-08-07;Ship Mode_22;Customer ID_22;Segment_22;125;Product ID_22;6080.51;94;625;2641.13
871;Order ID_23;2019-11-07;2022-05-23;Ship Mode_23;Customer ID_23;Segment_23;44;Product ID_23;3052.59;281;906;7501.08
380;Order ID_24;2022-06-13;2020-09-10;Ship Mode_24;Customer ID_24;Segment_24;387;Product ID_24;394.99;24;573;2084.21
952;Order ID_25;2022-08-26;2018-05-23;Ship Mode_25;Customer ID_25;Segment_25;402;Product ID_25;327.23;987;233;1094.14
299;Order ID_26;2021-05-29;2019-08-05;Ship Mode_26;Customer ID_26;Segment_26;56;Product ID_26;3842.05;168;170;6747.35
629;Order ID_27;2019-08-31;2018-02-18;Ship Mode_27;Customer ID_27;Segment_27;134;Product ID_27;6221.59;158;566;2279.02
827;Order ID_28;2022-10-06;2022-12-20;Ship Mode_28;Customer ID_28;Segment_28;1000;Product ID_28;8606.28;626;759;6327.89
796;Order ID_29;2018-08-13;2022-09-24;Ship Mode_29;Customer ID_29;Segment_29;29;Product ID_29;2623.66;84;797;5009.58
943;Order ID_30;2021-04-13;2021-11-21;Ship Mode_30;Customer ID_30;Segment_30;898;Product ID_30;3272.6;855;607;8381.61
32;Order ID_31;2022-03-18;2022-08-24;Ship Mode_31;Customer ID_31;Segment_31;8;Product ID_31;6518.89;973;469;1635.78
460;Order ID_32;2020-08-07;2019-09-20;Ship Mode_32;Customer ID_32;Segment_32;956;Product ID_32;1697.87;861;618;250.44
59;;;;;;;521;;2728.85;882;118;1382.47
20;Order ID_34;2020-11-30;2022-09-14;Ship Mode_34;Customer ID_34;Segment_34;78;Product ID_34;2926.49;899;930;7900.29
393;Order ID_35;2019-12-28;2019-06-29;Ship Mode_35;Customer ID_35;Segment_35;147;Product ID_35;6740.83;747;308;7410.19
852;Order ID_36;2024-02-15;2024-11-17;Ship Mode_36;Customer ID_36;Segment_36;868;Product ID_36;5097.49;669;540;8841.16
718;Order ID_37;2023-08-19;2023-02-23;Ship Mode_37;Customer ID_37;Segment_37;922;Product ID_37;5681.46;786;596;7315.68
671;Order ID_38;2022-06-07;2022-01-14;Ship Mode_38;Customer ID_38;Segment_38;881;Product ID_38;8977.99;131;255;317.08
359;Order ID_39;2019-09-01;2022-12-04;Ship Mode_39;Customer ID_39;Segment_39;644;Product ID_39;6106.19;835;378;212.0
870;Order ID_40;2023-04-19;2022-02-02;Ship Mode_40;Customer ID_40;Segment_40;498;Product ID_40;3685.5;822;694;5989.98
417;Order ID_41;2019-03-03;2023-04-20;Ship Mode_41;Customer ID_41;Segment_41;51;Product ID_41;7552.13;584;291;9672.26
630;Order ID_42;2024-04-30;2024-08-29;Ship Mode_42;Customer ID_42;Segment_42;625;Product ID_42;9763.41;804;758;7431.55
852;Order ID_43;2018-07-18;2022-04-20;Ship Mode_43;Customer ID_43;Segment_43;7;Product ID_43;7792.1;828;83;1140.46
501;Order ID_44;2024-11-26;2018-04-17;Ship Mode_44;Customer ID_44;Segment_44;737;Product ID_44;4001.79;725;278;4286.37
938;Order ID_45;2021-10-30;2022-04-26;Ship Mode_45;Customer ID_45;Segment_45;841;Product ID_45;8546.35;825;580;6302.75
626;Order ID_46;2024-04-05;2023-06-04;Ship Mode_46;Customer ID_46;Segment_46;835;Product ID_46;6093.84;57;143;2346.85
5;Order ID_47;2018-03-05;2018-12-13;Ship Mode_47;Customer ID_47;Segment_47;736;Product ID_47;3247.07;253;878;1287.96
997;Order ID_48;2021-06-13;2022-11-18;Ship Mode_48;Customer ID_48;Segment_48;347;Product ID_48;2460.48;826;677;2174.95
667;Order ID_49;2023-02-07;2022-12-09;Ship Mode_49;Customer ID_49;Segment_49;155;Product ID_49;6248.71;30;458;6000.97
37;Order ID_50;2024-09-02;2019-03-11;Ship Mode_50;Customer ID_50;Segment_50;415;Product ID_50;4692.82;875;882;5379.09
368;Order ID_51;2020-02-16;2024-11-28;Ship Mode_51;Customer ID_51;Segment_51;524;Product ID_51;7074.65;608;739;7101.86
935;Order ID_52;2023-06-13;2018-03-01;Ship Mode_52;Customer ID_52;Segment_52;622;Product ID_52;3795.33;246;143;8822.76
702;Order ID_53;2019-09-24;2021-12-27;Ship Mode_53;Customer ID_53;Segment_53;38;Product ID_53;3632.24;481;59;3336.75
625;Order ID_54;2021-01-09;2019-11-19;Ship Mode_54;Customer ID_54;Segment_54;961;Product ID_54;2751.25;485;434;6442.13
323;Order ID_55;2024-04-12;2019-01-14;Ship Mode_55;Customer ID_55;Segment_55;548;Product ID_55;1895.32;86;534;8451.26
897;Order ID_56;2024-10-21;2021-07-01;Ship Mode_56;Customer ID_56;Segment_56;526;Product ID_56;8031.09;400;955;2874.12
850;Order ID_57;2019-08-15;2024-11-10;Ship Mode_57;Customer ID_57;Segment_57;758;Product ID_57;8452.9;20;420;7049.55
368;Order ID_58;2020-10-24;2022-03-16;Ship Mode_58;Customer ID_58;Segment_58;129;Product ID_58;3285.76;352;27;5416.04
281;Order ID_59;2018-06-11;2021-03-29;Ship Mode_59;Customer ID_59;Segment_59;399;Product ID_59;3189.08;560;542;9390.78
168;Order ID_60;2021-07-18;2022-08-27;Ship Mode_60;Customer ID_60;Segment_60;602;Product ID_60;4791.26;926;659;2067.69
589;Order ID_61;2019-03-09;2023-11-22;Ship Mode_61;Customer ID_61;Segment_61;269;Product ID_61;3876.88;561;69;9314.67
455;;;;;;;982;;1509.33;39;587;2453.33
798;Order ID_63;2023-06-18;2021-10-30;Ship Mode_63;Customer ID_63;Segment_63;160;Product ID_63;7714.95;582;81;8168.64
492;Order ID_64;2018-01-10;2020-02-21;Ship Mode_64;Customer ID_64;Segment_64;204;Product ID_64;4793.44;56;461;634.28
967;Order ID_65;2021-09-07;2019-09-29;Ship Mode_65;Customer ID_65;Segment_65;266;Product ID_65;809.42;938;144;2771.76
553;Order ID_66;2018-02-17;2019-10-15;Ship Mode_66;Customer ID_66;Segment_66;409;Product ID_66;184.58;934;537;2085.94
715;Order ID_67;2022-04-21;2020-12-18;Ship Mode_67;Customer ID_67;Segment_67;118;Product ID_67;4184.42;698;487;9515.4
336;Order ID_68;2022-01-22;2023-05-30;Ship Mode_68;Customer ID_68;Segment_68;542;Product ID_68;7129.11;141;66;4962.71
258;Order ID_69;2019-04-30;2020-02-12;Ship Mode_69;Customer ID_69;Segment_69;943;Product ID_69;6664.55;253;758;3515.31
691;Order ID_70;2018-07-17;2022-01-22;Ship Mode_70;Customer ID_70;Segment_70;542;Product ID_70;4199.6;861;693;8345.76
536;Order ID_71;2022-10-25;2024-09-03;Ship Mode_71;Customer ID_71;Segment_71;634;Product ID_71;3016.1;528;586;3803.8
586;Order ID_72;2024-09-19;2023-03-31;Ship Mode_72;Customer ID_72;Segment_72;254;Product ID_72;4820.04;383;226;6773.7
231;Order ID_73;2022-04-12;2024-04-23;Ship Mode_73;Customer ID_73;Segment_73;513;Product ID_73;77.69;125;644;4003.71
715;Order ID_74;2021-02-06;2022-02-26;Ship Mode_74;Customer ID_74;Segment_74;515;Product ID_74;6736.73;133;606;8041.57
262;Order ID_75;2021-10-12;2018-06-13;Ship Mode_75;Customer ID_75;Segment_75;279;Product ID_75;5126.2;655;48;7356.44
452;Order ID_76;2018-07-31;2019-05-31;Ship Mode_76;Customer ID_76;Segment_76;295;Product ID_76;3748.81;587;931;9981.7
408;Order ID_77;2021-01-21;2022-02-19;Ship Mode_77;Customer ID_77;Segment_77;655;Product ID_77;4386.28;261;589;5871.33
795;Order ID_78;2022-06-25;2022-02-20;Ship Mode_78;Customer ID_78;Segment_78;500;Product ID_78;1351.33;291;970;1552.88
907;Order ID_79;2020-12-10;2019-06-05;Ship Mode_79;Customer ID_79;Segment_79;779;Product ID_79;7328.99;995;123;160.82
870;Order ID_80;2022-01-25;2018-07-16;Ship Mode_80;Customer ID_80;Segment_80;162;Product ID_80;2814.04;292;447;616.09
196;;;;;;;548;;6199.22;993;794;5952.21
80;Order ID_82;2021-02-07;2018-04-28;Ship Mode_82;Customer ID_82;Segment_82;527;Product ID_82;5689.86;848;178;5636.54
939;Order ID_83;2023-03-09;2023-07-17;Ship Mode_83;Customer ID_83;Segment_83;510;Product ID_83;9900.19;542;707;8713.8
960;Order ID_84;2021-10-22;2023-12-26;Ship Mode_84;Customer ID_84;Segment_84;145;Product ID_84;2594.98;162;516;4367.57
549;Order ID_85;2024-02-06;2020-04-01;Ship Mode_85;Customer ID_85;Segment_85;636;Product ID_85;98.02;646;543;4624.32
506;Order ID_86;2021-07-02;2021-04-15;Ship Mode_86;Customer ID_86;Segment_86;369;Product ID_86;6699.84;889;936;9492.72
625;Order ID_87;2024-11-21;2023-02-26;Ship Mode_87;Customer ID_87;Segment_87;384;Product ID_87;735.02;428;915;623.54
523;Order ID_88;2018-07-04;2024-08-18;Ship Mode_88;Customer ID_88;Segment_88;648;Product ID_88;5784.06;961;515;2943.3
94;Order ID_89;2019-06-02;2021-11-21;Ship Mode_89;Customer ID_89;Segment_89;321;Product ID_89;6173.81;214;72;4523.55
323;Order ID_90;2022-07-04;2021-02-25;Ship Mode_90;Customer ID_90;Segment_90;86;Product ID_90;1936.47;141;596;152.21
347;Order ID_91;2020-12-01;2021-02-24;Ship Mode_91;Customer ID_91;Segment_91;193;Product ID_91;8439.72;903;280;9397.3
312;Order ID_92;2020-11-19;2021-10-24;Ship Mode_92;Customer ID_92;Segment_92;5;Product ID_92;1343.74;786;512;989.76
942;Order ID_93;2021-07-25;2019-03-17;Ship Mode_93;Customer ID_93;Segment_93;175;Product ID_93;9130.42;140;771;2329.61
28;Order ID_94;2023-12-21;2018-01-15;Ship Mode_94;Customer ID_94;Segment_94;293;Product ID_94;7390.62;661;172;1155.19
373;Order ID_95;2019-11-27;2018-07-13;Ship Mode_95;Customer ID_95;Segment_95;733;Product ID_95;6126.99;597;720;50.93
860;Order ID_96;2024-12-24;2020-07-09;Ship Mode_96;Customer ID_96;Segment_96;440;Product ID_96;856.47;886;591;7229.76
