Product ID;Category;Sub-Category;Product Name
Product ID_1;Beta;Delta;The Consectetur Labore
Product ID_2;Beta;Epsilon;The Et Ut
Product ID_3;Gamma;Gamma;A Dolore Incididunt
Product ID_4;Delta;Delta;My Magna Tempor
Product ID_5;Epsilon;Beta;The Tempor Dolore
Product ID_6;Epsilon;Epsilon;My Elit Magna
Product ID_7;Epsilon;Alpha;The Adipiscing Ipsum
Product ID_8;Beta;Epsilon;A Labore Dolor
Product ID_9;Gamma;Delta;My Labore Adipiscing
Product ID_10;Delta;Beta;A Amet Ipsum
Product ID_11;Delta;Alpha;A Incididunt Dolor
Product ID_12;Gamma;Delta;A Elit Dolore
Product ID_13;Alpha;Alpha;A Dolor Labore
Product ID_14;Delta;Delta;The Magna Sed
Product ID_15;Epsilon;Alpha;The Eiusmod Aliqua
Product ID_16;Beta;Epsilon;The Sed Incididunt
Product ID_17;Delta;Alpha;The Sit Amet
Product ID_18;Delta;Epsilon;A Do Magna
Product ID_19;Alpha;Delta;The Sit Ut
Product ID_20;Gamma;Delta;My Magna Lorem
Product ID_21;Beta;Gamma;A Dolor Amet
Product ID_22;Beta;Gamma;My Amet Tempor
Product ID_23;Epsilon;Epsilon;A Lorem Et
Product ID_24;Alpha;Epsilon;A Amet Amet
Product ID_25;Epsilon;Beta;A Ipsum Consectetur
Product ID_26;Epsilon;Epsilon;My Labore Incididunt
Product ID_27;Gamma;Gamma;The Et Elit
Product ID_28;Delta;Beta;A Et Lorem
Product ID_29;Epsilon;Alpha;The Elit Sit
Product ID_30;Delta;Gamma;The Aliqua Lorem
Product ID_31;Gamma;Alpha;The Aliqua Lorem
Product ID_32;Gamma;Delta;The Elit Ipsum
Product ID_33;Gamma;Beta;A Et Ut
Product ID_34;Gamma;Gamma;My Dolore Et
Product ID_35;Beta;Beta;My Amet Elit
Product ID_36;Gamma;Beta;My Magna Incididunt
Product ID_37;Epsilon;Epsilon;The Et Do
Product ID_38;Gamma;Gamma;My Do Eiusmod
Product ID_39;Gamma;Alpha;The Incididunt Lorem
Product ID_40;Gamma;Beta;The Lorem Elit
Product ID_41;Beta;Delta;The Incididunt Do
Product ID_42;Gamma;Beta;A Labore Adipiscing
Product ID_43;Gamma;Alpha;A Sed Aliqua
;;;
Product ID_45;Epsilon;Beta;The Magna Et
Product ID_46;Gamma;Delta;A Ipsum Lorem
Product ID_47;Delta;Epsilon;My Lorem Ipsum
Product ID_48;Delta;Alpha;My Elit Incididunt
Product ID_49;Beta;Gamma;The Eiusmod Do
Product ID_50;Epsilon;Gamma;My Sed Consectetur
Product ID_51;Beta;Alpha;The Ut Dolore
Product ID_52;Gamma;Alpha;The Dolor Sed
Product ID_53;Epsilon;Delta;A Labore Eiusmod
Product ID_54;Beta;Delta;A Magna Do
Product ID_55;Delta;Beta;The Elit Dolore
Product ID_56;Gamma;Alpha;The Tempor Labore
Product ID_57;Gamma;Delta;My Tempor Et
Product ID_58;Delta;Delta;The Dolore Dolor
Product ID_59;Beta;Beta;The Ipsum Labore
Product ID_60;Delta;Delta;My Et Elit
Product ID_61;Alpha;Alpha;A Aliqua Sed
;;;
Product ID_63;Beta;Beta;My Magna Labore
Product ID_64;Delta;Epsilon;A Sed Ipsum
Product ID_65;Gamma;Epsilon;A Aliqua Aliqua
Product ID_66;Gamma;Alpha;My Do Adipiscing
Product ID_67;Gamma;Epsilon;A Aliqua Et
Product ID_68;Beta;Beta;My Dolore Dolore
Product ID_69;Epsilon;Delta;A Eiusmod Tempor
Product ID_70;Gamma;Epsilon;My Et Adipiscing
;;;
Product ID_72;Gamma;Gamma;A Dolore Lorem
Product ID_73;Alpha;Beta;A Ut Lorem
Product ID_74;Epsilon;Epsilon;A Incididunt Ut
;;;
Product ID_76;Alpha;Alpha;A Sit Aliqua
Product ID_77;Beta;Epsilon;My Dolore Sed
Product ID_78;Epsilon;Gamma;A Magna Tempor
Product ID_79;Alpha;Epsilon;A Adipiscing Ipsum
Product ID_80;Gamma;Gamma;My Consectetur Ut
Product ID_81;Gamma;Alpha;The Lorem Amet
Product ID_82;Epsilon;Alpha;A Consectetur Adipiscing
Product ID_83;Epsilon;Epsilon;A Adipiscing Et
Product ID_84;Beta;Epsilon;A Et Ipsum
Product ID_85;Gamma;Gamma;My Sit Labore
Product ID_86;Alpha;Gamma;My Ipsum Ut
Product ID_87;Gamma;Gamma;The Ipsum Dolore
Product ID_88;Gamma;Gamma;A Adipiscing Eiusmod
Product ID_89;Alpha;Beta;A Eiusmod Elit
Product ID_90;Epsilon;Epsilon;A Dolore Tempor
Product ID_91;Delta;Delta;The Ut Tempor
Product ID_92;Epsilon;Gamma;The Ipsum Ut
Product ID_93;Alpha;Alpha;The Et Et
Product ID_94;Gamma;Gamma;A Ipsum Et
Product ID_95;Delta;Gamma;My Tempor Lorem
Product ID_96;Epsilon;Epsilon;A Elit Eiusmod
Product ID_97;Epsilon;Epsilon;The Consectetur Sit
Product ID_98;Beta;Alpha;The Ipsum Sit
Product ID_99;Beta;Gamma;A Et Et
Product ID_100;Delta;Beta;A Tempor Ipsum
