extract_date,department_location_key,parent_revenue_location_name,revenue_location_name,unit_grouping,department_name,department_level_of_care_group,extract_hour,extract_minute,valid_from_instant,valid_to_instant,is_topofhour,staffed_beds,open_beds,occupied_beds,unavailable_beds,staffed_occupancy_percent,number_incoming,number_outgoing,number_expected_open,is_current,licensed_beds,physical_beds,is_endofday,ETLInsertedDateTime
2025-05-07,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-07 23:00:00,2025-05-08 00:00:00,1,8,3,5,4,62,4,1,0,0,12,12,1,
2025-05-08,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-08 23:00:00,2025-05-09 00:00:00,1,8,4,4,4,50,6,2,0,0,12,12,1,
2025-05-09,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-09 23:00:00,2025-05-10 00:00:00,1,9,4,5,2,56,1,4,7,0,12,12,1,
2025-05-10,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-10 23:00:00,2025-05-11 00:00:00,1,12,6,6,0,50,6,3,3,0,12,12,1,
2025-05-11,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-11 23:00:00,2025-05-12 00:00:00,1,9,5,4,2,44,2,3,6,0,12,12,1,
2025-05-12,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-12 23:00:00,2025-05-13 00:00:00,1,8,4,4,4,50,0,3,7,0,12,12,1,
2025-05-13,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-13 23:00:00,2025-05-14 00:00:00,1,8,4,4,4,50,4,3,3,0,12,12,1,
2025-05-14,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-14 23:00:00,2025-05-15 00:00:00,1,9,5,4,3,44,6,0,0,0,12,12,1,
2025-05-15,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-15 23:00:00,2025-05-16 00:00:00,1,12,6,6,0,50,0,6,12,0,12,12,1,
2025-05-16,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-16 23:00:00,2025-05-17 00:00:00,1,9,4,5,2,56,1,6,9,0,12,12,1,
2025-05-17,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-17 23:00:00,2025-05-18 00:00:00,1,8,4,4,4,50,3,2,3,0,12,12,1,
2025-05-18,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-18 23:00:00,2025-05-19 00:00:00,1,11,5,6,0,55,1,1,5,0,12,12,1,
2025-05-19,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-19 23:00:00,2025-05-20 00:00:00,1,8,3,5,4,62,5,2,0,0,12,12,1,
2025-05-20,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-20 23:00:00,2025-05-21 00:00:00,1,12,6,6,0,50,0,4,10,0,12,12,1,
