parent_location_name,location_name,current_emergency_department_name,emergency_department_current_care_area,last_update,encounter_count
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 20:23:25,44
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 21:13:05,23
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 21:09:37,6
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 22:06:41,16
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 20:31:02,23
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:21:34,31
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 21:32:04,6
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 20:44:07,42
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 21:21:03,4
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 23:04:54,25
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 22:42:48,28
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 22:01:09,11
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 20:48:07,39
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 21:46:12,6
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 20:08:38,11
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 23:51:31,16
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 21:10:59,36
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 22:34:35,21
